Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
5200 Hixson Pike,Chattanooga,TN,37343,4/9/2024 11:26,TN0330100,A2,Adam N,91Z,Serving Warrant,,24-031575,2,Cleared by Arrest,35.137539000000004,,-85.235248,POINT (-85.235248 35.137539),3
3800 Pennsylvania Ave,Chattanooga,TN,37409,4/9/2024 11:30,TN0330100,A12,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,24-031594,4,Inactive/Suspended,35.011879,St. Elmo,-85.330046,POINT (-85.330046 35.011879),7
1000 Broad St,Chattanooga,TN,37402,4/9/2024 11:39,TN0330100,A9,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,24-031581,2,Cleared by Arrest,35.043866,,-85.310212,POINT (-85.310212 35.043866),7
5500 Brainerd Rd,Chattanooga,TN,37411,4/9/2024 11:52,TN0330100,C3,Charlie S,13B,Simple Assault,Part 1 Crimes,24-031589,2,Cleared by Arrest,35.011473,Brainerd Park,-85.220173,POINT (-85.220173 35.011473),5
5500 Brainerd Rd,Chattanooga,TN,37411,4/9/2024 11:52,TN0330100,C3,Charlie S,90Z,All Other Offenses,Part 2 Crimes,24-031589,2,Cleared by Arrest,35.009918,,-85.218991,POINT (-85.218991 35.009918),6
1200 Poplar St,Chattanooga,TN,37402,4/9/2024 12:00,TN0330100,A6,Adam S,91Z,Miscellaneous Information,,24-031583,3,Pending/Possible Leads,35.040441,,-85.316221,POINT (-85.316221 35.040441),7
5700 Lee Hwy,Chattanooga,TN,37421,4/9/2024 12:00,TN0330100,C4,Charlie S,91Z,Miscellaneous Information,,24-031584,3,Pending/Possible Leads,35.017815,,-85.203846,POINT (-85.203846 35.017815),6
3400 Campbell St,Chattanooga,TN,37406,4/9/2024 12:18,TN0330100,B1,Baker N,91Z,Miscellaneous Information,,24-031610,3,Pending/Possible Leads,35.073111,,-85.240068,POINT (-85.240068 35.073111),5
2500 De Sales Ave,Chattanooga,TN,37404,4/9/2024 12:19,TN0330100,B4,Baker N,91Z,Miscellaneous Information,,24-031562,3,Pending/Possible Leads,35.042574,Glenwood,-85.261212,POINT (-85.261212 35.042574),9
5900 Winding Ln,Chattanooga,TN,37343,4/9/2024 12:20,TN0330100,A1,Adam N,91Z,Miscellaneous Information,,24-031595,3,Pending/Possible Leads,35.149398999999995,,-85.246648,POINT (-85.246648 35.149399),3
3900 Tennessee Ave,Chattanooga,TN,37409,4/9/2024 12:20,TN0330100,A12,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,24-031596,2,Cleared by Arrest,35.010239000000006,St. Elmo,-85.327501,POINT (-85.327501 35.010239),7
3600 Wauchula St,Chattanooga,TN,37406,4/9/2024 12:29,TN0330100,B1,Baker N,91Z,Miscellaneous Information,,24-031600,3,Pending/Possible Leads,35.073038999999994,,-85.232168,POINT (-85.232168 35.073039),5
